Code,Title,Time,Website,Season,Year
STA190,Netherlands,21:25,240.53.206.36,Fall,2025
STA317,Czech Republic,5:47,222.23.34.12,Fall,2025
STA124,China,4:08,170.148.210.7,Summer,2024
STA141,Ukraine,18:57,153.48.34.170,Spring,2025
STA324,Portugal,20:09,145.234.7.152,Fall,2024
STA418,Belarus,19:37,152.52.157.102,Spring,2024
STA123,Poland,17:48,217.4.186.201,Fall,2023
STA498,Italy,11:38,80.80.2.67,Summer,2023
STA417,Sweden,3:24,58.138.104.146,Fall,2022
STA176,Philippines,8:56,115.9.177.10,Summer,2022
STA284,Vietnam,17:33,206.227.99.114,Spring,2022
STA345,Japan,3:41,25.228.107.36,Fall,2021
